ticker,name,sector,mcap_cr,pe,roe,roce,sg5,pg5,growth,quality,peg,score,fin
CRAFTSMAN,Craftsman Automation Limited,Automobile and Auto Components,26808.0,96.5,7.72,10.3,18.0,39.0,21.0,9.01,4.595238095238095,34.2,False
AMBER,Amber Enterprises India Limited,Consumer Durables,25464.0,129.0,5.95,10.2,18.0,20.0,21.5,8.075,6.0,33.9,False
BAJAJFINSV,Bajaj Finserv Limited,Financial Services,322014.0,31.3,13.2,10.6,17.0,7.0,12.75,13.2,2.454901960784314,33.9,True
TATASTEEL,Tata Steel Limited,Metals & Mining,228948.0,19.3,11.7,12.5,8.0,5.0,9.75,12.1,1.9794871794871796,33.0,False
THERMAX,Thermax Limited,Capital Goods,48262.0,87.7,10.6,13.9,18.0,24.0,16.25,12.25,5.396923076923077,31.8,False
MANKIND,Mankind Pharma Limited,Healthcare,99825.0,46.8,13.1,13.5,11.0,,12.666666666666666,13.3,3.694736842105263,28.5,False
NHPC,NHPC Limited,Power,77246.0,20.4,9.32,5.75,2.0,24.0,10.0,7.535,2.04,28.2,False
KAJARIACER,Kajaria Ceramics Limited,Consumer Durables,19710.0,34.2,17.9,23.3,11.0,4.0,6.0,20.6,5.7,27.8,False
POWERGRID,Power Grid Corporation of India Limited,Power,248373.0,15.7,15.3,9.1,3.0,14.0,7.0,12.2,2.242857142857143,27.7,False
RVNL,Rail Vikas Nigam Limited,Construction,47351.0,52.7,9.02,10.8,-2.0,50.0,14.25,9.91,3.698245614035088,27.0,False
BEML,BEML Limited,Capital Goods,15618.0,87.5,4.86,7.71,16.0,29.0,17.0,6.285,5.147058823529412,26.7,False
DMART,Avenue Supermarts Limited,Consumer Services,264473.0,86.4,12.9,17.2,22.0,3.0,9.5,15.05,9.094736842105263,26.5,False
TIMKEN,Timken India Limited,Capital Goods,24648.0,57.8,14.3,19.0,,16.0,8.0,16.65,7.225,26.2,False
FLUOROCHEM,Gujarat Fluorochemicals Limited,Chemicals,51920.0,84.0,7.6,9.86,36.0,22.0,14.0,8.73,6.0,25.5,False
KIMS,Krishna Institute of Medical Sciences Limited,Healthcare,33987.0,163.0,11.3,9.5,4.0,26.0,12.5,10.4,13.04,25.4,False
TECHM,Tech Mahindra Limited,Information Technology,159950.0,30.1,17.5,23.1,2.0,3.0,4.0,20.3,7.525,25.1,False
SUNDRMFAST,Sundram Fasteners Limited,Automobile and Auto Components,25553.0,41.1,14.9,17.6,11.0,10.0,7.25,16.25,5.6689655172413795,24.9,False
ULTRACEMCO,UltraTech Cement Limited,Construction Materials,342858.0,44.9,10.3,12.6,7.0,9.0,11.0,11.45,4.081818181818182,24.6,False
INDIAMART,Indiamart Intermesh Limited,Consumer Services,10742.0,21.8,20.7,28.0,11.0,-13.0,0.0,24.35,,24.4,False
CIPLA,Cipla Limited,Healthcare,117139.0,32.8,11.6,15.5,10.0,10.0,9.0,13.55,3.644444444444444,24.4,False
VGUARD,V-Guard Industries Limited,Consumer Durables,14252.0,43.9,12.9,16.8,6.0,7.0,7.75,14.850000000000001,5.664516129032258,24.1,False
DELHIVERY,Delhivery Limited,Services,34469.0,289.0,1.87,2.82,20.0,,18.0,2.3449999999999998,16.055555555555557,23.9,False
BERGEPAINT,Berger Paints (I) Limited,Consumer Durables,63506.0,51.7,17.3,21.6,10.0,-4.0,3.5,19.450000000000003,14.771428571428572,23.7,False
METROPOLIS,Metropolis Healthcare Limited,Healthcare,11300.0,54.3,13.6,17.8,1.0,-4.0,6.5,15.7,8.353846153846153,23.5,False
FINPIPE,Finolex Industries Limited,Capital Goods,9897.0,16.0,9.73,12.7,-4.0,-1.0,6.25,11.215,2.56,23.2,False
POONAWALLA,Poonawalla Fincorp Limited,Financial Services,43894.0,55.8,5.86,7.51,24.0,23.0,14.25,5.86,3.9157894736842103,23.0,True
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,389440.0,19.5,11.4,6.98,14.0,2.0,7.0,11.4,2.7857142857142856,22.5,True
EXIDEIND,Exide Industries Limited,Automobile and Auto Components,40434.0,43.2,5.97,8.54,1.0,24.0,12.25,7.254999999999999,3.526530612244898,22.0,False
JINDALSTEL,JINDAL STEEL LIMITED,Metals & Mining,112210.0,36.4,8.22,9.7,1.0,21.0,10.25,8.96,3.551219512195122,21.3,False
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Financial Services,73440.0,45.7,12.6,10.1,11.0,-5.0,7.25,12.6,6.30344827586207,21.3,True
IRCON,Ircon International Limited,Construction,11738.0,22.4,9.19,9.69,9.0,23.0,7.75,9.44,2.890322580645161,20.6,False
SUPREMEIND,Supreme Industries Limited,Capital Goods,45326.0,43.8,15.8,20.7,-1.0,11.0,2.0,18.25,21.9,20.6,False
GLAND,Gland Pharma Limited,Healthcare,48979.0,42.8,10.7,15.1,1.0,-7.0,6.25,12.899999999999999,6.848,20.4,False
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,Fast Moving Consumer Goods,107213.0,65.0,7.35,9.24,12.0,6.0,10.0,8.295,6.5,20.3,False
JSWSTEEL,JSW Steel Limited,Metals & Mining,309643.0,41.1,8.38,10.5,-4.0,11.0,9.0,9.440000000000001,4.566666666666666,20.2,False
RATNAMANI,Ratnamani Metals & Tubes Limited,Capital Goods,16451.0,37.5,12.6,17.9,12.0,10.0,4.0,15.25,9.375,20.1,False
SRF,SRF Limited,Chemicals,77159.0,34.5,14.3,14.6,10.0,8.0,4.5,14.45,7.666666666666667,19.8,False
GODREJCP,Godrej Consumer Products Limited,Fast Moving Consumer Goods,95781.0,46.2,16.1,18.8,3.0,-1.0,1.0,17.450000000000003,46.2,18.7,False
PIIND,PI Industries Limited,Chemicals,37930.0,26.8,14.2,18.0,17.0,-5.0,1.75,16.1,15.314285714285715,18.2,False
VOLTAS,Voltas Limited,Consumer Durables,43842.0,112.0,6.1,9.04,-6.0,6.0,8.25,7.569999999999999,13.575757575757576,17.5,False
DRREDDY,Dr. Reddy's Laboratories Limited,Healthcare,100186.0,31.1,11.2,13.0,15.0,5.0,4.25,12.1,7.31764705882353,17.2,False
UBL,United Breweries Limited,Fast Moving Consumer Goods,36382.0,105.0,7.69,10.7,24.0,0.0,5.75,9.195,18.26086956521739,16.1,False
DABUR,Dabur India Limited,Fast Moving Consumer Goods,72324.0,36.5,17.0,20.3,2.0,-7.0,-2.75,18.65,,15.3,False
ATUL,Atul Limited,Chemicals,19850.0,25.0,11.5,14.9,1.0,-5.0,1.5,13.2,16.666666666666668,15.0,False
GODREJPROP,Godrej Properties Limited,Realty,59890.0,165.0,0.81,2.82,49.0,6.0,11.0,1.815,15.0,15.0,False
HDFCLIFE,HDFC Life Insurance Company Limited,Financial Services,116771.0,59.1,11.3,10.3,7.0,-4.0,2.5,11.3,23.64,14.3,True
STARCEMENT,Star Cement Limited,Construction Materials,8076.0,60.1,8.16,12.0,-6.0,12.0,1.75,10.08,34.34285714285714,12.2,False
TANLA,Tanla Platforms Limited,Information Technology,7729.0,46.4,22.4,21.6,2.0,-9.0,-8.25,22.0,,12.1,False
ARE&M,Amara Raja Energy & Mobility Limited,Automobile and Auto Components,17307.0,23.7,7.18,12.2,-3.0,5.0,2.0,9.69,11.85,12.1,False
SKFINDIA,SKF India Limited,Automobile and Auto Components,7781.0,33.5,14.8,24.2,0.0,4.0,-6.5,19.5,,11.7,False
DALBHARAT,Dalmia Bharat Limited,Construction Materials,34555.0,258.0,1.75,2.07,42.0,-1.0,7.25,1.91,35.58620689655172,10.6,False
SHREECEM,SHREE CEMENT LIMITED,Construction Materials,89138.0,54.7,7.51,10.3,-6.0,-1.0,1.25,8.905000000000001,43.760000000000005,10.4,False
CLEAN,Clean Science and Technology Limited,Chemicals,8721.0,37.4,15.3,20.6,3.0,-12.0,-8.25,17.950000000000003,,8.1,False
KANSAINER,Kansai Nerolac Paints Limited,Consumer Durables,16540.0,24.4,9.29,12.6,3.0,-13.0,-3.75,10.945,,6.4,False
TTKPRESTIG,TTK Prestige Limited,Consumer Durables,8149.0,35.4,10.2,13.7,-2.0,-8.0,-6.5,11.95,,4.1,False
CROMPTON,Crompton Greaves Consumer Electricals Limited,Consumer Durables,15992.0,35.3,10.6,18.1,-11.0,-12.0,-9.75,14.350000000000001,,2.7,False
DEEPAKNTR,Deepak Nitrite Limited,Chemicals,23519.0,29.7,9.82,11.4,-7.0,-5.0,-7.75,10.61,,1.3,False
SYNGENE,Syngene International Limited,Healthcare,16203.0,54.6,7.78,9.99,0.0,-8.0,-9.0,8.885,,-1.9,False
MFSL,Max Financial Services Limited,Financial Services,53424.0,492.0,1.52,2.87,-28.0,7.0,-3.0,1.52,,-2.1,True
GRINFRA,G R Infraprojects Limited,Construction,8432.0,9.0,9.2,11.9,-3.0,-12.0,-10.75,10.55,,-2.3,False
SYMPHONY,Symphony Limited,Consumer Durables,4276.0,1099.0,2.96,20.6,-30.0,-7.0,-14.5,11.780000000000001,,-5.6,False
PRAJIND,Praj Industries Limited,Capital Goods,6148.0,122.0,1.48,6.12,-24.0,-1.0,-13.25,3.8,,-12.1,False
PRINCEPIPE,Prince Pipes And Fittings Limited,Capital Goods,3147.0,30.2,4.67,6.12,-20.0,-15.0,-17.5,5.395,,-15.6,False
KNRCON,KNR Constructions Limited,Construction,3724.0,33.2,2.9,4.59,-14.0,-14.0,-16.75,3.745,,-16.4,False
